OBJECTID（編號）,DISTRICT（行政區）,ENGINEID（外租機械編號）,ENGLOC（位置敘述）,ENGNAME（設備名稱）,EMAN（責任承辦人）,市話,行動電話,EFIRM（責任廠商）,SPRECDATE,SPUSEDIR,Longitude,Latitude
11,北投區,北投13,貴子坑溪右岸與八仙圳倒虹吸工口(放置於圳溝抽排至貴子坑溪),"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.4850606,25.11580242
12,北投區,北投14,承德路7段401巷88弄6號,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.4995858,25.11793031
13,北投區,北投15,大業路65巷1弄,"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.4963777,25.12257308
14,北投區,北投16,石牌路1段39巷131弄口,"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5099897,25.11777756
15,北投區,北投17,石牌路1段39巷82號,"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5096814,25.11580769
16,北投區,北投22,八仙抽水站旁,"輪型鏟裝車1輛
貨車(總重6T)1輛",抽管科八仙抽水站董衍威,(02)28278720,975707223,世煌工程有限公司,,,121.4904995,25.1159499
17,北投區,北投25,北投區承德路7段223之2號(石牌高爾夫練習場停車場),"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5041973,25.11514419
18,北投區,北投26,北投區承德路7段393巷99號(洲美3號閘門),"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5007767,25.11719295
19,北投區,北投27,北投區承德路7段393巷(洲美5號閘門),"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5007307,25.11445806
20,士林區,北投30,士林區福國路101號旁(文林橋下),"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.518667,25.101396
21,松山區,北區1,敦化北路155巷88號前,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5521617,25.05434312
22,中山區,北區2,合江街(民生東路3段至錦州街口),"引擎式抽水機4台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5392268,25.05874444
23,中山區,北區5,中山北路錦西街口,"引擎式抽水機4台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5228717,25.06022194
24,中山區,北區6,中山北路錦州街口,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.523209,25.06019032
25,大同區,北區8,赤峰街77巷與南京西路25巷交叉口,"引擎式抽水機2台(4""口徑)",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.520504,25.057049
26,大同區,北區9,赤峰街53巷與南京西路25巷交叉口,"引擎式抽水機4台(4""口徑)",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.520456,25.056148
27,士林區,北區10,德行東路378巷底壓力箱涵(沉砂池),"挖土機1輛(PC-120)
傾卸貨車1輛(總重15~15.9噸)",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5403243,25.10910408
28,士林區,北區11,中山北路7段190巷玉潮坑溪上游明溝段,"挖土機1輛(PC-120)
傾卸貨車1輛(總重15~15.9噸)",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5335538,25.12524421
29,士林區,北區12,故宮路48巷底(放置於側溝內),"引擎式抽水機1台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5467213,25.09611947
30,中山區,北區14,通北街65巷67號,"挖土機1輛（PC-120）
傾卸貨車1輛(總重15~15.9噸)",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5389385,25.08398766
31,士林區,北區15,延平北路7段106巷94弄(與防汛道路交會處)(固定式抽水機組旁),"柴油式引擎發電機(100kw、220V)1台
貨車(總重6T)1輛",下工科抽水機暨機電管理站長,(02)28280035,975808703,鑫工匠工程有限公司,,,121.4954964,25.09914409
32,士林區,北區16,延平北路7段107巷(與防汛道路交會處)(固定式抽水機組旁),"柴油式引擎發電機(100kw、220V)1台
貨車1輛(總重3.5T)",下工科抽水機暨機電管理站長,(02)28280035,975808703,鑫工匠工程有限公司,,,121.4942399,25.09603078
33,士林區,北區18,洲美橋下消防局後,"柴油式引擎發電機(100KW、220V)1台
貨車(總重6T)1輛",下工科抽水機暨機電管理站長,(02)28280035,975808703,鑫工匠工程有限公司,,,121.4973957,25.09685257
34,士林區,北區19,延平北路8段2巷200弄57號旁,"柴油式引擎發電機(400KW、380V)1台
吊卡車(15米-噸)1輛",抽管科社子島管制站站長,(02)28109525,978727959,鑫工匠工程有限公司,,,121.4906357,25.11276094
35,士林區,北區20,天母東路103號旁,"引擎式抽水機1台(4""口徑)
貨車(總重6T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5363,25.11827663
36,士林區,北區23,福林路與中山北路5段470巷口,"引擎式抽水機2台(4""口徑)
貨車3.5頓1台",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5291826,25.0944142
37,士林區,北區24,中正路187、201、213、223、235巷口,"引擎式抽水機5台(4""口徑)
貨車6噸1台",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5268739,25.09552053
38,大同區,北區26,赤峰街71巷與南京西路25巷交叉口,"引擎式抽水機3台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5204614,25.05661869
39,士林區,北區27,文林路404巷巷口,"引擎式抽水機5台(4""口徑)
貨車3.5噸1台",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.5254557,25.09400696
40,士林區,北區30,延平北路8段157巷口,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.481988,25.105885
41,松山區,北區34,松山區南京東路3段256巷,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.544693,25.050209
42,松山區,北區35,松山區興安街174巷3弄13號,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.545195,25.05577
43,松山區,北區36,松山區民生東路4段75巷,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北區工務所主任,(02)25424675,978300185,鑫工匠工程有限公司,,,121.550761,25.058307
44,士林區,北區37,延平北路8段157巷巷口,"柴油式引擎發電(400KW、380V)1台
吊卡車(15 米-噸)1 輛",抽管科社子島管制站站長,(02)28109525,978300185,鑫工匠工程有限公司,,,121.482,25.1034
45,內湖區,南內1,文湖街沉砂池攔污柵(文湖街21巷68弄25-6號旁),"挖土機1輛(PC-200)
傾卸貨車1輛(總重15~15.9噸)",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.5611264,25.08850557
46,內湖區,南內2,環山路1段136巷底大排入口攔污柵(環山路1段136巷20弄16號旁),"挖土機1輛(PC-45)
貨車1輛(總重3.5T)",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.5676603,25.08861855
47,內湖區,南內3,大湖公園之大湖排水口,"挖土機1輛(PC-200)
傾卸貨車1輛(總重15~15.9噸)",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.6070072,25.07887714
48,內湖區,南內5,五分街2號前,"柴油式引擎發電機(100kw/220V)1台
貨車(總重6.0T)1輛",下工科抽水機暨機電管理站長,(02)28280035,975808703,宏易開發有限公司,,,121.6126206,25.06763852
49,信義區,南內6,吳興街600巷與祥雲街口,挖土機1輛(PC-120),工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.57125,25.01748094
50,信義區,南內7,信義路5段150巷445弄與信義路5段150巷口,"挖土機1輛(PC-200)
傾卸貨車1輛(總重15~15.9噸)",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.5723082,25.02223094
51,信義區,南內11,虎林街232巷及松德路133巷口、信義路6段15巷及信義路6段15巷22弄口、信義路6段33巷及虎林街242巷交叉口,"引擎式抽水機6台(4""口徑)
貨車(總重3.5T)1輛",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.5762,25.03599863
52,信義區,南內14,信義區信義路6段76巷8弄2號前,"引擎式抽水機2台(4""口徑)
貨車(3.5T)1輛",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.5773898,25.03460301
53,內湖區,南內16,康寧路3段(南湖大橋下橋端),"引擎式抽水機3台(4""口徑)
貨車(6T)1輛",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.6110791,25.06499809
54,內湖區,南內17,成功路5段180號前,"引擎式抽水機3台(4""口徑)
貨車(3.5T)1輛",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.6066,25.0821
55,信義區,南內18,信義區吳興街524巷51號前,"引擎式抽水機2台(4""口徑)、貨車(總重3.5噸)1輛",工務科南內工務所主任,(02)27832741,978300188,宏易開發有限公司,,,121.5675,25.0225
56,文山區,南區2,文山區無名溪混元宮旁沉砂池(自恆光橋下老泉街45巷進入),"挖土機1輛(PC-200)
傾卸貨車2輛(總重15~15.9噸)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5754076,24.97327332
57,文山區,南區3,文山興隆路3段308號至興隆路4段再興中學,"引擎式抽水機1台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5592517,24.9903128
58,文山區,南區4,興德路興隆路口,"引擎式抽水機2台(4""口徑)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5550751,25.00079406
59,文山區,南區5,興隆路2段301巷口,"引擎式抽水機2台(4""口徑)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5532078,25.00136344
60,文山區,南區6,興隆路3段304巷30號(再興春天大廈旁),"挖土機1輛(PC-45)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5559535,24.99593314
61,萬華區,南區7,萬大路237巷10弄與萬大路277巷口,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5010634,25.02543311
62,萬華區,南區8,西園路2段52巷(巷口近1號前),"引擎式抽水機2台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.4966889,25.0318161
63,文山區,南區9,力行國小旁防汛道路(木新路三段95巷52弄口),"引擎式抽水機2台(4""口徑)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5625649,24.9806989
64,文山區,南區11,北政國中臨時抽水站(指南路3段2巷14號),"柴油式引擎發電機(100KW/380V)1台
貨車(總重3.5T)1輛",下工科抽水機暨機電管理站長,(02)28280035,975808703,嘉邑營造有限公司,,,121.5768254,24.98492251
65,文山區,南區13,興隆路3段36巷底與辛亥路5段25巷口,"引擎式抽水機1台(4""口徑)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5550154,24.99955712
66,大安區,南區14,基隆路3段155巷107弄(台大教職員宿舍門口),"引擎式抽水機2台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5456754,25.01327773
67,大安區,南區15,基隆路3段155巷128號(義芳居前),"引擎式抽水機2台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5473341,25.01183828
68,大安區,南區19,泰順街50巷口前,"引擎式抽水機2台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.531192,25.023013
69,大安區,南區20,大安區和平東路2段265巷36號前及和平東路2段265巷與復興南路271巷交叉口、和平東路2段265巷37弄,"引擎式抽水機7台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5440346,25.02654144
70,文山區,南區21,文山區木柵路4段159巷194號前,"挖土機(PC-45)1輛
傾卸貨車(總重8~8.9噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5772033,25.00501499
71,大安區,南區22,大安區和平東路3段1弄；大安區四維路216巷及四維路交叉口,"引擎式抽水機5台(4""口徑)
貨車(總重3.5噸)1輛",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5467659,25.0259388
72,文山區,南區23,文山區景華街與景興路口,"引擎式抽水機2台(4""口徑)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5445501,24.99507463
73,文山區,南區24,文山區木柵路2段7巷口,"引擎式抽水機2台(4""口徑)",工務科南區工務所主任,(02)86632970,978300184,嘉邑營造有限公司,,,121.5590582,24.98884048
