¤ë¥÷,§Ç¸¹,ªe¤t¦WºÙ,ºÊ´ú¯¸,¤ô·Å¼Æ­È¡]¢J¡^,®ð·Å¼Æ­È¡]¢J¡^,pH¼Æ­È,·»®ñ¶q¼Æ­È¡]mg/l¡^,¥Í¤Æ»Ý®ñ¶q¼Æ­È¡]mg/l¡^,®ò´á¼Æ­È¡]mg/l¡^,µv»ÄÆQ´á¼Æ­È¡]mg/l¡^,¨Èµv»ÄÆQ´á¼Æ­È¡]mg/l¡^,Äa¯B©TÅé¼Æ­È¡]mg/l¡^,¤Æ¾Ç»Ý®ñ¶q¼Æ­È¡]mg/l¡^,Âð¼Æ­È¡]ug/l¡^,»Ì¼Æ­È¡]ug/l¡^,»É¼Æ­È¡]ug/l¡^,¹]¼Æ­È¡]ug/l¡^,¾N¼Æ­È¡]ug/l¡^,ÅK¼Æ­È¡]ug/l¡^,¨E¼Æ­È¡]ug/l¡^,¯~¼Æ­È¡]ug/l¡^,¿ø¼Æ­È¡]ug/l¡^,»È¼Æ­È¡]ug/l¡^,Âì¼Æ­È¡]ug/l¡^,¾É¹q«×¼Æ­È¡]umho/cm¡^,Á`ÁC¼Æ­È¡]mg/l¡^,¿B«×¼Æ­È¡]NTU¡^,¤j¸z±ìµß¸s¼Æ­È¡]CFU/100 ml¡^,´âÆQ¼Æ­È¡]mg/l¡^,Á`´á¼Æ­È¡]mg/l¡^
3,14,¶Q¤l§|·Ë,·s¶Q¤l§|,26,22.5,8.4,7.8,2.2,ND<0.02,2.37,0.03,8.2,12,---,---,---,---,---,---,---,---,---,---,---,274,---,8.9,1.50E+05,31.4,---
3,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,18.3,17,8,9.6,1.4,0.04,0.59,0.02,14.7,13.2,---,---,---,---,---,---,---,---,---,---,---,376,---,14,2.40E+04,43.1,---
3,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,23.5,18,2.8,7.7,1.3,2.14,0.97,ND<0.01,25,15.2,---,---,---,---,---,---,---,---,---,---,---,1750,---,9.3,<10,182,---
4,1,·s©±·Ë,¥ÃºÖ¾ô,21.5,26.5,7.1,6,2.4,0.87,1.03,0.07,5.2,6.2,ND<0.667,ND<0.657,1.66,1.07,7.55,---,ND<0.200,---,66.8,ND<0.652,1.23,185,---,0.95,3.60E+04,9.9,---
4,2,´º¬ü·Ë,¸UºÖ¾ô,19.7,25,7.6,8.8,3.3,0.45,1.02,0.06,2.6,5.6,ND<0.667,ND<0.657,1.4,ND<0.663,10.9,---,ND<0.200,---,21.4,ND<0.652,ND<0.647,171,---,0.35,2.10E+04,7.4,---
4,3,´º¬ü·Ë,«í¥ú¾ô,20.5,23.5,7.5,7.8,3.3,1.04,1.28,0.11,0.5,5.6,ND<0.667,ND<0.657,1.29,ND<0.663,6,---,ND<0.200,---,39.4,ND<0.652,0.822,191,---,0.45,1.90E+04,7.9,---
4,4,´º¬ü·Ë,´º¬ü¾ô,19.7,24,7.3,7.4,4.5,0.53,1.33,0.09,2.6,6.1,ND<0.667,ND<0.657,1.17,ND<0.663,4.99,---,ND<0.200,---,28.6,ND<0.652,0.803,195,---,0.4,5.40E+04,9,---
4,5,²H¤ôªe,»O¥_¾ô,20,27,6.9,5.8,4.7,1.07,0.62,0.04,26.2,8,ND<0.667,1.39,3.68,1.7,14.4,---,ND<0.200,---,62.5,ND<0.652,2.68,796,---,6.4,3.90E+04,87.3,---
4,6,°ò¶©ªe,¦¨¥\¾ô,23.1,26,7.1,3.9,4.9,0.9,1.52,0.15,3.8,8.4,ND<0.667,ND<0.657,3.92,ND<0.663,7.19,---,ND<0.200,---,24.9,ND<0.652,1.14,252,---,0.65,3.90E+03,17.3,---
4,7,°ò¶©ªe,¤jª½¾ô,21.9,25,7,3.5,5.7,1.2,2.43,0.17,13.9,12.1,ND<0.667,0.823,3.37,0.851,12.6,---,ND<0.200,---,40.5,ND<0.652,1.49,268,---,0.4,1.90E+05,19.8,---
4,8,°ò¶©ªe,©Ó¼w¾ô,21.7,25,6.7,3.5,5.9,1.24,2.67,0.14,9.2,12.8,ND<0.667,ND<0.657,2.77,ND<0.663,11.8,---,ND<0.200,---,39.5,ND<0.652,1.81,262,---,0.5,3.70E+05,19.6,---
4,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,17.4,23.5,7.6,10.3,0.7,ND<0.02,0.64,ND<0.01,1.5,2.8,ND<0.667,ND<0.657,0.768,ND<0.663,3.56,---,ND<0.200,---,6.95,ND<0.652,ND<0.647,125,---,0.7,3.10E+03,9.4,---
4,10,Âù·Ë,«Cò¢·Ë,17.8,24,7.7,9.8,0.1,ND<0.02,1.2,ND<0.01,3.1,2.4,ND<0.667,ND<0.657,0.963,ND<0.663,4.38,---,ND<0.200,---,8.51,ND<0.652,ND<0.647,162,---,0.8,6.00E+03,10.7,---
4,11,Âù·Ë,´_¿³¾ô,18.9,24,7.5,10.3,0.9,ND<0.02,1.24,ND<0.01,2,2.3,ND<0.667,ND<0.657,0.937,ND<0.663,3,---,ND<0.200,---,10.8,ND<0.652,ND<0.647,172,---,0.95,2.20E+04,10.9,---
4,12,ÁD·Ë,¶§©ú¤s,18.4,25.5,7.5,9.1,0.7,ND<0.02,0.73,ND<0.01,3.9,3.1,ND<0.667,ND<0.657,1.37,ND<0.663,4.97,---,ND<0.200,---,5.23,ND<0.652,ND<0.647,146,---,0.6,2.80E+04,7.9,---
4,13,ÁD·Ë,ÁD·Ë¾ô,24.1,29,4.2,7.8,1.2,0.65,0.99,ND<0.01,6.1,4.2,ND<0.667,1.32,2.82,1.04,27.9,---,ND<0.200,---,199,ND<0.652,1.47,558,---,0.3,3.90E+02,46.2,---
4,14,¶Q¤l§|·Ë,·s¶Q¤l§|,22.8,25.5,8.6,8.9,2.2,ND<0.02,1.77,0.03,4,6.4,ND<0.667,ND<0.657,1.47,ND<0.663,11.4,---,ND<0.200,---,40.9,ND<0.652,1.92,292,---,1.7,5.10E+04,16,---
4,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,19.4,25,8.1,9.5,2.7,0.1,1.1,0.03,1,5.8,ND<0.667,ND<0.657,1.87,ND<0.663,4.67,---,ND<0.200,---,51.1,ND<0.652,0.827,1160,---,0.5,1.90E+04,169,---
4,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,25,27,2.7,7.3,1.4,2.77,0.73,ND<0.01,3.1,3.8,1.38,2.73,6.06,91.4,214,---,ND<0.200,289,881,ND<0.652,2.53,2160,---,0.65,<10,219,---
5,1,·s©±·Ë,¥ÃºÖ¾ô,20.9,19,7,7.6,2.4,0.52,0.83,0.07,64.1,22.7,---,---,---,---,---,---,---,---,---,---,---,108,---,5.9,3.90E+05,6.6,---
5,2,´º¬ü·Ë,¸UºÖ¾ô,26.2,28.5,7.6,5.2,2.9,0.8,1.16,0.14,3.2,7.2,---,---,---,---,---,---,---,---,---,---,---,214,---,0.55,3.60E+03,14.5,---
5,3,´º¬ü·Ë,«í¥ú¾ô,27.7,28,7.3,4.8,3.3,1.55,1.61,0.23,6,10,---,---,---,---,---,---,---,---,---,---,---,233,---,0.55,5.00E+03,17.2,---
5,4,´º¬ü·Ë,´º¬ü¾ô,26,26.5,7.3,4.8,3,1.42,1.58,0.18,7.6,10.1,---,---,---,---,---,---,---,---,---,---,---,276,---,0.85,3.00E+04,18.7,---
5,5,²H¤ôªe,»O¥_¾ô,22.5,19,6.9,4.4,4,1.77,0.5,0.06,58.1,26.6,---,---,---,---,---,---,---,---,---,---,---,228,---,1.7,3.60E+05,30.4,---
5,6,°ò¶©ªe,¦¨¥\¾ô,26.3,26.5,7.1,4.2,3.1,1.35,1.31,0.21,7.6,10.1,---,---,---,---,---,---,---,---,---,---,---,264,---,0.9,2.00E+04,22,---
5,7,°ò¶©ªe,¤jª½¾ô,26.4,28,6.9,4.6,3.2,1.03,2.36,0.17,39,13.6,---,---,---,---,---,---,---,---,---,---,---,262,---,1,2.00E+03,22.2,---
5,8,°ò¶©ªe,©Ó¼w¾ô,26.2,26.5,6.9,4.3,2.9,1.12,2.14,0.15,16.6,12.8,---,---,---,---,---,---,---,---,---,---,---,279,---,1.4,5.60E+03,26.9,---
5,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,23.6,26,7.7,7.8,0.7,ND<0.02,0.59,ND<0.01,2.9,2.8,---,---,---,---,---,---,---,---,---,---,---,131,---,0.8,3.90E+03,12.6,---
5,10,Âù·Ë,«Cò¢·Ë,22.2,28.5,7.9,9,0.6,ND<0.02,1.47,ND<0.01,3.6,1.6,---,---,---,---,---,---,---,---,---,---,---,174,---,0.85,4.30E+03,9.9,---
5,11,Âù·Ë,´_¿³¾ô,24,30,7.6,9.5,2.6,0.02,1.45,ND<0.01,1.8,4.4,---,---,---,---,---,---,---,---,---,---,---,194,---,0.7,1.00E+05,10.3,---
5,12,ÁD·Ë,¶§©ú¤s,20.9,26.5,7.8,8.7,0.6,0.02,0.67,ND<0.01,6.2,3.5,---,---,---,---,---,---,---,---,---,---,---,150,---,0.7,2.50E+04,9,---
5,13,ÁD·Ë,ÁD·Ë¾ô,26.6,28,3.7,7.5,2.2,0.33,0.95,ND<0.01,3,3.7,---,---,---,---,---,---,---,---,---,---,---,580,---,0.35,1.10E+02,52.4,---
5,14,¶Q¤l§|·Ë,·s¶Q¤l§|,25.3,26,8.2,8.2,2.1,ND<0.02,1.74,0.03,5.8,7.1,---,---,---,---,---,---,---,---,---,---,---,288,---,2.2,4.40E+04,11.5,---
5,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,21.1,21,7.7,8.9,2.5,0.29,0.84,0.06,16.8,21.2,---,---,---,---,---,---,---,---,---,---,---,352,---,1.2,2.80E+05,40.2,---
5,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,25.9,19.5,2.4,7.1,2.1,2.51,0.9,ND<0.01,11.8,14.6,---,---,---,---,---,---,---,---,---,---,---,1870,---,0.75,<10,181,---
6,1,·s©±·Ë,¥ÃºÖ¾ô,28.2,28,7.2,6.9,2.8,0.61,0.76,0.1,10.1,6.9,---,---,---,---,---,---,---,---,---,---,---,181,---,4.6,2.00E+04,10.7,---
6,2,´º¬ü·Ë,¸UºÖ¾ô,32,35,7.6,5.6,3.1,0.73,1.17,0.25,4.6,8.7,---,---,---,---,---,---,---,---,---,---,---,235,---,2.3,7.50E+03,16,---
6,3,´º¬ü·Ë,«í¥ú¾ô,31.4,35,7.6,6.9,3,0.44,1.54,0.17,8.9,10.7,---,---,---,---,---,---,---,---,---,---,---,248,---,5.8,2.90E+04,19.2,---
6,4,´º¬ü·Ë,´º¬ü¾ô,30.1,28.5,7.4,5.2,3,1.69,1.61,0.2,15.4,24,---,---,---,---,---,---,---,---,---,---,---,265,---,15,3.90E+05,23,---
6,5,²H¤ôªe,»O¥_¾ô,29.2,32.5,7,4.7,3.5,1.89,0.51,0.1,81.5,19.3,---,---,---,---,---,---,---,---,---,---,---,340,---,55,2.60E+05,38.4,---
6,6,°ò¶©ªe,¦¨¥\¾ô,30.9,31,7.2,4,3.1,0.77,1.4,0.3,12.1,11.8,---,---,---,---,---,---,---,---,---,---,---,298,---,9.8,2.10E+04,29.4,---
6,7,°ò¶©ªe,¤jª½¾ô,30.5,31,7,3.7,3.4,1.24,2.35,0.26,35.6,15.6,---,---,---,---,---,---,---,---,---,---,---,288,---,22,3.10E+04,30.2,---
6,8,°ò¶©ªe,©Ó¼w¾ô,30.2,32,6.8,2.8,4.5,1.66,2.15,0.2,13.9,13.9,---,---,---,---,---,---,---,---,---,---,---,288,---,8.6,2.50E+05,30.7,---
6,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,28.2,31.5,7.7,7.7,0.6,ND<0.02,0.47,ND<0.01,3.6,4.4,---,---,---,---,---,---,---,---,---,---,---,123,---,3.2,1.10E+03,11.8,---
6,10,Âù·Ë,«Cò¢·Ë,24.5,36,8,8.6,0.6,ND<0.02,1.47,ND<0.01,5.4,3.7,---,---,---,---,---,---,---,---,---,---,---,130,---,3.4,1.10E+04,13.5,---
6,11,Âù·Ë,´_¿³¾ô,26.4,33,7.5,9.1,2.6,ND<0.02,1.53,ND<0.01,4.4,3.9,---,---,---,---,---,---,---,---,---,---,---,168,---,3.8,1.50E+04,13.1,---
6,12,ÁD·Ë,¶§©ú¤s,22.4,30,7.6,8.7,0.6,ND<0.02,0.6,ND<0.01,8.9,3.5,---,---,---,---,---,---,---,---,---,---,---,172,---,3.4,2.50E+04,13.2,---
6,13,ÁD·Ë,ÁD·Ë¾ô,28.3,35,3.5,7.6,2.2,0.26,0.96,ND<0.01,4.1,3.4,---,---,---,---,---,---,---,---,---,---,---,668,---,6.3,4.60E+02,71.4,---
6,14,¶Q¤l§|·Ë,·s¶Q¤l§|,28.2,31,8.8,8.2,1.7,ND<0.02,1.29,0.04,7.8,8.6,---,---,---,---,---,---,---,---,---,---,---,288,---,5.4,1.40E+04,20.5,---
6,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,28.4,35,7.6,5.6,1.6,0.06,1.04,0.08,3.6,8,---,---,---,---,---,---,---,---,---,---,---,784,---,1.5,9.50E+02,86.8,---
6,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,30.5,35,2.3,6.8,2.1,3.49,0.64,ND<0.01,6.4,10.1,---,---,---,---,---,---,---,---,---,---,---,2490,---,2.1,<10,244,---
7,1,·s©±·Ë,¥ÃºÖ¾ô,29.5,32,7.2,6,3.3,0.88,0.98,1.08,18.5,13.8,ND<0.667,ND<0.657,2.46,1.03,8.74,---,ND<0.200,---,147,ND<0.652,1.22,222,---,7.5,3.30E+04,20,---
7,2,´º¬ü·Ë,¸UºÖ¾ô,33.8,36,8.1,8.9,2.5,1.55,1.26,1.53,5.6,14.1,ND<0.667,ND<0.657,1.55,ND<0.663,29.2,---,ND<0.200,---,75.2,ND<0.652,ND<0.647,288,---,1.5,2.00E+03,19.7,---
7,3,´º¬ü·Ë,«í¥ú¾ô,33.8,35,8.9,12.9,2.8,0.04,1.49,0.37,7.9,15.3,ND<0.667,ND<0.657,1.68,ND<0.663,5.13,---,ND<0.200,---,73.1,ND<0.652,ND<0.647,123,---,2.5,3.80E+03,19.2,---
7,4,´º¬ü·Ë,´º¬ü¾ô,31.8,33,8.7,9.7,2.9,1.41,1.74,1.52,16.2,18.5,ND<0.667,0.816,2.82,1.4,25,---,ND<0.200,---,51.7,ND<0.652,2.55,194,---,4.8,6.50E+04,27.2,---
7,5,²H¤ôªe,»O¥_¾ô,29.9,38,7.3,4.6,4,1.87,0.97,1.45,96,25,ND<0.667,2.23,10.2,4.39,30.9,---,ND<0.200,---,80.2,ND<0.652,5.32,1070,---,29,2.40E+05,133,---
7,6,°ò¶©ªe,¦¨¥\¾ô,32.9,32.5,7.5,5.4,3.2,0.83,1.55,0.77,14,17.9,ND<0.667,ND<0.657,3.12,0.696,10.1,---,ND<0.200,---,59.3,ND<0.652,1.73,330,---,7.6,1.20E+04,34.2,---
7,7,°ò¶©ªe,¤jª½¾ô,30.8,33,7.2,5.6,3.7,1.57,2.76,1.21,47.9,24.7,ND<0.667,1.05,6.39,2.5,21.3,---,ND<0.200,---,80.8,ND<0.652,2.43,314,---,18,4.80E+04,34.9,---
7,8,°ò¶©ªe,©Ó¼w¾ô,30.4,35.5,7,4.4,3.5,1.62,2.07,1.27,30.8,17.2,ND<0.667,ND<0.657,3.47,1.48,23.9,---,ND<0.200,---,43.2,ND<0.652,1.88,459,---,13,1.70E+04,41.2,---
