¤ë¥÷,§Ç¸¹,ªe¤t¦WºÙ,ºÊ´ú¯¸,¤ô·Å¼Æ­È¡]¢J¡^,®ð·Å¼Æ­È¡]¢J¡^,pH¼Æ­È,·»®ñ¶q¼Æ­È¡]mg/l¡^,¥Í¤Æ»Ý®ñ¶q¼Æ­È¡]mg/l¡^,®ò´á¼Æ­È¡]mg/l¡^,µv»ÄÆQ´á¼Æ­È¡]mg/l¡^,¨Èµv»ÄÆQ´á¼Æ­È¡]mg/l¡^,Äa¯B©TÅé¼Æ­È¡]mg/l¡^,¤Æ¾Ç»Ý®ñ¶q¼Æ­È¡]mg/l¡^,Âð¼Æ­È¡]ug/l¡^,»Ì¼Æ­È¡]ug/l¡^,»É¼Æ­È¡]ug/l¡^,¹]¼Æ­È¡]ug/l¡^,¾N¼Æ­È¡]ug/l¡^,ÅK¼Æ­È¡]ug/l¡^,¿ø¼Æ­È¡]ug/l¡^,»È¼Æ­È¡]ug/l¡^,Âì¼Æ­È¡]ug/l¡^,¨E¼Æ­È¡]ug/l¡^,¯~¼Æ­È¡]ug/l¡^,¾É¹q«×¼Æ­È¡]umho/cm¡^,Á`ÁC¼Æ­È¡]mg/l¡^,¿B«×¼Æ­È¡]NTU¡^,¤j¸z±ìµß¸s¼Æ­È¡]CFU/100 ml¡^,´âÆQ¼Æ­È¡]mg/l¡^,Á`´á¼Æ­È¡]mg/l¡^
1,11,Âù·Ë,´_¿³¾ô,19.6,21.5,7.9,9.8,0.9,ND<0.07,1.12,0.04,1.5,2.2,ND<0.648,ND<0.632,1.42,ND<0.642,1.5,---,7.74,ND<0.625,ND<0.642,ND<0.2,---,157,---,2.2,1.50E+04,12.6,---
1,12,ÁD·Ë,¶§©ú¤s,18.4,19,7.6,9.4,0.2,ND<0.07,0.75,ND<0.01,2.8,ND<1.5,ND<0.648,ND<0.632,3.48,1.03,4.5,---,3.97,ND<0.625,ND<0.642,ND<0.2,---,143,---,1.4,3.40E+04,11.6,---
1,13,ÁD·Ë,ÁD·Ë¾ô,22.4,22,6.9,8.6,0.6,ND<0.07,0.89,ND<0.01,22,3.2,ND<0.648,1.04,1.59,0.722,10.6,---,105,ND<0.625,0.916,ND<0.2,---,351,---,11,5.70E+02,38.4,---
1,14,¶Q¤l§|·Ë,·s¶Q¤l§|,23.3,22.5,8.5,8.5,0.4,ND<0.07,1.72,0.03,4.3,4.5,ND<0.648,ND<0.632,1.67,ND<0.642,4.66,---,48.6,ND<0.625,1.32,ND<0.2,---,268,---,4,1.30E+04,19.4,---
1,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,18.9,22,8,8.9,4.3,6.56,1.58,0.25,1.4,7.2,ND<0.648,ND<0.632,3.54,ND<0.642,4.49,---,71.1,ND<0.625,1.57,ND<0.2,---,716,---,1.8,1.20E+04,87.3,---
1,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,26.2,24,2.7,5.7,2.2,2.79,1.02,ND<0.01,7.1,11.6,1.17,3.06,4.34,70.3,167,---,856,ND<0.625,3.27,ND<0.2,214,2020,---,4,<10,232,---
2,1,·s©±·Ë,¥ÃºÖ¾ô,21.8,24.5,7.2,4.4,3.4,1.29,1,0.14,5.4,8,---,---,---,---,---,---,---,---,---,---,---,204,---,3.4,8.50E+03,15,---
2,2,´º¬ü·Ë,¸UºÖ¾ô,18.6,15.5,7.2,4.8,2.4,1.07,3.3,0.5,3.3,8.2,---,---,---,---,---,---,---,---,---,---,---,202,---,1,1.20E+05,12,---
2,3,´º¬ü·Ë,«í¥ú¾ô,18.2,15,7.2,5.2,2.1,0.64,1,0.04,4.1,6.1,---,---,---,---,---,---,---,---,---,---,---,208,---,1.4,2.10E+04,11,---
2,4,´º¬ü·Ë,´º¬ü¾ô,19.6,15,7.2,4.8,2.9,1.02,0.95,0.08,5.7,7.9,---,---,---,---,---,---,---,---,---,---,---,238,---,4.2,4.00E+04,16,---
2,5,²H¤ôªe,»O¥_¾ô,21.2,24.5,7.2,1.4,4.6,4.83,0.41,0.18,27.6,16.7,---,---,---,---,---,---,---,---,---,---,---,527,---,15,2.70E+05,84.3,---
2,6,°ò¶©ªe,¦¨¥\¾ô,15.6,14.5,7.2,8.9,1.3,0.12,0.81,0.06,5.2,4.2,---,---,---,---,---,---,---,---,---,---,---,144,---,2.9,1.10E+05,12.5,---
2,7,°ò¶©ªe,¤jª½¾ô,16.1,14.5,7.1,7.5,1.9,0.42,1.03,0.06,8,6,---,---,---,---,---,---,---,---,---,---,---,162,---,8.6,9.50E+04,14.6,---
2,8,°ò¶©ªe,©Ó¼w¾ô,17,14.5,6.9,5.2,2.9,1.36,1.64,0.04,8.7,11.8,---,---,---,---,---,---,---,---,---,---,---,177,---,9.2,3.70E+05,13.8,---
2,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,16.4,15,7.6,9.9,0.7,ND<0.07,0.75,0.08,1.7,ND<1.5,---,---,---,---,---,---,---,---,---,---,---,124,---,2.5,1.50E+03,11.1,---
2,10,Âù·Ë,«Cò¢·Ë,16,15.5,7.9,10.4,0.5,ND<0.07,1.16,0.3,1.9,1.7,---,---,---,---,---,---,---,---,---,---,---,181,---,2.7,1.10E+04,12.6,---
2,11,Âù·Ë,´_¿³¾ô,17.6,15.5,7.9,10.3,0.7,ND<0.07,0.99,0.15,2.8,2,---,---,---,---,---,---,---,---,---,---,---,182,---,2.2,2.70E+04,10.6,---
2,12,ÁD·Ë,¶§©ú¤s,14.4,9.5,7.7,10.7,0.3,ND<0.07,0.8,0.03,1.4,1.5,---,---,---,---,---,---,---,---,---,---,---,152,---,1.2,1.90E+04,10.5,---
2,13,ÁD·Ë,ÁD·Ë¾ô,17.7,14,4.9,9.9,0.4,ND<0.07,0.84,0.03,18.9,3.2,---,---,---,---,---,---,---,---,---,---,---,438,---,16,3.50E+02,43.9,---
2,14,¶Q¤l§|·Ë,·s¶Q¤l§|,12.7,12,8,11.5,0.7,ND<0.07,1.83,0.04,2.8,2.8,---,---,---,---,---,---,---,---,---,---,---,272,---,3.2,1.20E+04,13,---
2,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,19.9,24,7.8,8.2,4.3,1.07,3.34,0.51,1.9,9,---,---,---,---,---,---,---,---,---,---,---,912,---,2.7,2.20E+03,87.8,---
2,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,27,25,2.6,6.2,2.4,3.1,0.96,0.03,5.3,12.1,---,---,---,---,---,---,---,---,---,---,---,2410,---,3.7,<10,224,---
3,1,·s©±·Ë,¥ÃºÖ¾ô,19.1,21,7.2,5.1,3.7,2.12,0.87,0.08,8.7,9.4,---,---,---,---,---,---,---,---,---,---,---,220,---,8.5,1.50E+04,24.6,---
3,2,´º¬ü·Ë,¸UºÖ¾ô,18.9,23.5,7.3,4.8,3.5,1.96,1.11,0.16,3.9,9.5,---,---,---,---,---,---,---,---,---,---,---,266,---,1.4,2.30E+04,12,---
3,3,´º¬ü·Ë,«í¥ú¾ô,19.3,23,7.3,5,3.7,0.99,1.4,0.21,5.9,7.7,---,---,---,---,---,---,---,---,---,---,---,256,---,4.1,9.00E+03,14.3,---
3,4,´º¬ü·Ë,´º¬ü¾ô,20.8,24,7.3,5.3,3.2,2.21,1.44,0.19,5.2,11,---,---,---,---,---,---,---,---,---,---,---,312,---,2.7,2.70E+04,18.8,---
3,5,²H¤ôªe,»O¥_¾ô,19.7,20.5,7.3,2.3,6.6,5.81,0.83,0.12,29.2,22.6,---,---,---,---,---,---,---,---,---,---,---,630,---,20,1.50E+05,87.8,---
3,6,°ò¶©ªe,¦¨¥\¾ô,20.5,16,7.3,3.1,5.3,2.3,1.38,0.2,13.9,16.9,---,---,---,---,---,---,---,---,---,---,---,311,---,7,2.80E+04,29.4,---
3,7,°ò¶©ªe,¤jª½¾ô,20.6,15.5,7.2,4.4,6.3,2.41,2.56,0.23,26.6,22.9,---,---,---,---,---,---,---,---,---,---,---,310,---,5.6,3.00E+04,33.6,---
3,8,°ò¶©ªe,©Ó¼w¾ô,20.8,17.5,7.2,3.3,5.2,2.91,2.56,0.16,18,21.7,---,---,---,---,---,---,---,---,---,---,---,334,---,10,3.70E+04,42.4,---
3,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,19.9,24,8.3,9.9,0.6,ND<0.08,0.45,ND<0.01,2.1,2,---,---,---,---,---,---,---,---,---,---,---,127,---,2.2,7.00E+02,9,---
3,10,Âù·Ë,«Cò¢·Ë,19.1,25.5,8.1,9.4,0.4,ND<0.08,1.27,ND<0.01,2.1,1.6,---,---,---,---,---,---,---,---,---,---,---,181,---,1.9,4.10E+03,14.6,---
3,11,Âù·Ë,´_¿³¾ô,21.5,25,8,10,0.7,ND<0.08,1.39,0.02,2.8,3,---,---,---,---,---,---,---,---,---,---,---,196,---,2.5,1.50E+04,14.9,---
3,12,ÁD·Ë,¶§©ú¤s,15.1,14,7.7,9.9,0.6,ND<0.08,0.76,ND<0.01,1.4,2.2,---,---,---,---,---,---,---,---,---,---,---,154,---,1.4,3.50E+04,12.8,---
3,13,ÁD·Ë,ÁD·Ë¾ô,21,17,4.6,7.9,1.1,ND<0.08,1.11,0.02,13.6,5.7,---,---,---,---,---,---,---,---,---,---,---,497,---,6.8,1.50E+03,58.7,---
3,14,¶Q¤l§|·Ë,·s¶Q¤l§|,15.8,17,8.3,10.2,0.8,ND<0.08,1.84,0.02,2.8,4.7,---,---,---,---,---,---,---,---,---,---,---,282,---,3.7,1.70E+04,15.8,---
3,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,16.5,20,8,9.1,6.2,2.41,2.91,ND<0.01,3.7,12.3,---,---,---,---,---,---,---,---,---,---,---,808,---,4.1,9.00E+03,86.3,---
3,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,24.3,23.5,2.6,6.7,3.1,3.53,0.96,0.1,10.2,14.3,---,---,---,---,---,---,---,---,---,---,---,2410,---,7,<10,242,---
4,1,·s©±·Ë,¥ÃºÖ¾ô,23.6,26,7.2,4.4,4.6,2.25,1.15,0.11,10.3,10.6,ND<0.648,ND<0.632,1.5,0.781,5.79,---,96.2,ND<0.625,0.972,ND<0.2,---,227,---,8.6,1600,24.1,---
4,2,´º¬ü·Ë,¸UºÖ¾ô,25,26.5,7.4,3.9,3.9,2.7,0.89,0.17,3.8,10.7,ND<0.648,ND<0.632,1.83,1.52,6.64,---,101,ND<0.625,ND<0.642,ND<0.2,---,281,---,2.8,480,15.3,---
4,3,´º¬ü·Ë,«í¥ú¾ô,25.4,27,7.4,3.6,5.3,1.64,1.39,0.19,5.3,11.1,ND<0.648,0.712,1.32,1.33,4.36,---,134,ND<0.625,ND<0.642,ND<0.2,---,275,---,1.8,1300,17.6,---
4,4,´º¬ü·Ë,´º¬ü¾ô,24.4,27,7.4,4.8,5.3,2.66,1.16,0.16,7.8,11.8,ND<0.648,ND<0.632,1.27,0.834,8.65,---,71.4,ND<0.625,2.87,ND<0.2,---,348,---,2.2,4600,31.1,---
4,5,²H¤ôªe,»O¥_¾ô,22.5,25.5,7.3,3.4,8.5,6.64,0.38,0.08,31.8,19.1,ND<0.648,2.57,4.2,2.12,12,---,102,ND<0.625,5.1,ND<0.2,---,1830,---,23,15000,312,---
4,6,°ò¶©ªe,¦¨¥\¾ô,19.6,23.5,7.2,3.1,4.4,2.53,1.46,0.18,10.4,13.2,ND<0.648,0.742,4.93,0.679,5.5,---,124,ND<0.625,1.35,ND<0.2,---,273,---,6.3,4900,29.1,---
4,7,°ò¶©ªe,¤jª½¾ô,20.5,22.5,7.2,4.1,5.7,2.85,2.36,0.14,28.6,17.9,ND<0.648,0.664,2.95,1.22,9.7,---,104,ND<0.625,1.66,ND<0.2,---,288,---,15,26000,30.4,---
4,8,°ò¶©ªe,©Ó¼w¾ô,20.3,23,7.2,2.9,5.7,2.81,1.96,0.09,13.5,15.3,ND<0.648,ND<0.632,1.77,0.721,5.89,---,85.1,ND<0.625,1.42,ND<0.2,---,314,---,3.4,130000,32.4,---
4,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,23.3,27.5,8.4,8.8,0.1,ND<0.08,0.87,0.07,3.4,2.9,ND<0.648,ND<0.632,0.717,ND<0.642,1.6,---,9.3,ND<0.625,ND<0.642,ND<0.2,---,137,---,6,230,10.8,---
4,10,Âù·Ë,«Cò¢·Ë,22.1,28,8.1,8.5,0.1,ND<0.08,1.16,ND<0.01,2.9,2.5,ND<0.648,ND<0.632,1.29,ND<0.642,2.76,---,7.25,ND<0.625,ND<0.642,ND<0.2,---,178,---,3.2,520,14.2,---
4,11,Âù·Ë,´_¿³¾ô,24.8,28,8,9.2,0.7,0.47,1.31,0.01,4.8,3.9,ND<0.648,ND<0.632,1.12,ND<0.642,2.41,---,12.5,ND<0.625,ND<0.642,ND<0.2,---,204,---,2.2,2400,15,---
4,12,ÁD·Ë,¶§©ú¤s,18.2,24,7.6,9.2,0.3,ND<0.08,0.85,ND<0.01,1.6,2.7,ND<0.648,ND<0.632,0.961,ND<0.642,3.94,---,3.45,ND<0.625,ND<0.642,ND<0.2,---,173,---,1.8,29000,13,---
4,13,ÁD·Ë,ÁD·Ë¾ô,24.6,25.5,4.1,7.8,0.7,0.66,1.22,0.04,6.6,4.4,ND<0.648,1.68,2.82,1.09,27.7,---,195,ND<0.625,1.24,ND<0.2,---,603,---,11,850,77.3,---
4,14,¶Q¤l§|·Ë,·s¶Q¤l§|,27.3,26,8.7,7.9,0.6,ND<0.08,1.8,0.02,2.2,6.9,ND<0.648,ND<0.632,2.27,0.697,6,---,51.9,ND<0.625,0.925,ND<0.2,---,269,---,3.7,36000,26.6,---
4,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,22.4,26.5,8,7.7,2,0.37,2.28,0.08,4.1,7.2,ND<0.648,ND<0.632,2.62,ND<0.642,3.55,---,126,ND<0.625,1.07,ND<0.2,---,764,---,4.9,120,87.3,---
4,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,28.9,27.5,2.6,5.5,3.4,4.13,0.93,ND<0.01,3.1,13.4,1.8,2.93,3.11,108,414,---,1210,ND<0.625,2.68,ND<0.2,450,3030,---,2.1,<1,314,---
5,1,·s©±·Ë,¥ÃºÖ¾ô,23.2,25.5,7.2,5.1,4.2,1.29,1.04,0.14,17.6,9.3,---,---,---,---,---,---,---,---,---,---,---,200,---,9.3,2000,20.8,---
5,2,´º¬ü·Ë,¸UºÖ¾ô,26.5,34.5,7.4,4.9,2.5,1.12,1.21,0.1,3.2,8.2,---,---,---,---,---,---,---,---,---,---,---,223,---,2.9,2200,28.8,---
5,3,´º¬ü·Ë,«í¥ú¾ô,26.7,33.5,7.4,4.2,2.6,0.6,1.25,0.2,3,7.9,---,---,---,---,---,---,---,---,---,---,---,225,---,4.1,2500,29.8,---
5,4,´º¬ü·Ë,´º¬ü¾ô,26,34,7.4,4.9,5.6,1.7,1.28,0.19,3.6,9.8,---,---,---,---,---,---,---,---,---,---,---,265,---,5.1,29000,31.6,---
5,5,²H¤ôªe,»O¥_¾ô,24,26,7.2,4.1,13.4,4.7,0.38,0.07,88.6,27.9,---,---,---,---,---,---,---,---,---,---,---,4130,---,50,1500,491,---
5,6,°ò¶©ªe,¦¨¥\¾ô,24.2,27.5,7.1,2.1,1.9,1.12,1.54,0.07,5.5,7.8,---,---,---,---,---,---,---,---,---,---,---,231,---,2.6,62000,29.6,---
5,7,°ò¶©ªe,¤jª½¾ô,24.3,28,7.1,3.5,4.4,2,1.65,0.04,20.8,14.6,---,---,---,---,---,---,---,---,---,---,---,260,---,4.6,110000,35.1,---
5,8,°ò¶©ªe,©Ó¼w¾ô,24.5,28.5,7,3.7,3.5,1.85,0.51,ND<0.01,13.5,13.2,---,---,---,---,---,---,---,---,---,---,---,285,---,8.8,40000,40.3,---
5,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,26.5,32.5,8.2,8,0.3,ND<0.08,0.5,0.02,1.6,3.1,---,---,---,---,---,---,---,---,---,---,---,136,---,2.7,800,12.3,---
5,10,Âù·Ë,«Cò¢·Ë,23.6,34,8.2,8.4,0.2,ND<0.08,1.44,ND<0.01,2.1,2.9,---,---,---,---,---,---,---,---,---,---,---,179,---,4.6,13000,16,---
5,11,Âù·Ë,´_¿³¾ô,26.7,33.5,8.1,9.1,1,ND<0.08,1.03,0.02,2.9,4.4,---,---,---,---,---,---,---,---,---,---,---,203,---,3.3,9500,16.9,---
5,12,ÁD·Ë,¶§©ú¤s,19.8,29.5,7.6,9.1,0.2,ND<0.08,1.05,0.12,1.9,2,---,---,---,---,---,---,---,---,---,---,---,178,---,1.4,9500,12.3,---
5,13,ÁD·Ë,ÁD·Ë¾ô,26.2,31.5,3.9,7.7,0.3,0.46,1.08,0.04,1.6,3,---,---,---,---,---,---,---,---,---,---,---,673,---,1.9,150,83.2,---
5,14,¶Q¤l§|·Ë,·s¶Q¤l§|,27.3,31,8.4,7.9,1.3,ND<0.08,1.32,0.07,4.5,5.8,---,---,---,---,---,---,---,---,---,---,---,285,---,5.4,14000,17.5,---
5,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,21.4,24.5,8.1,7.6,2,0.11,1.27,0.12,5.1,8,---,---,---,---,---,---,---,---,---,---,---,573,---,4.3,490,64.1,---
5,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,27.8,25,2.6,5.7,2.1,4.33,0.92,ND<0.01,3.2,14.5,---,---,---,---,---,---,---,---,---,---,---,3220,---,1.4,<1,318,---
6,1,·s©±·Ë,¥ÃºÖ¾ô,24.5,29,7.4,7.1,1,0.12,0.55,0.04,7.8,3.6,---,---,---,---,---,---,---,---,---,---,---,133,---,6.9,23000,5.8,---
6,2,´º¬ü·Ë,¸UºÖ¾ô,23,26,7.8,8.1,0.7,0.12,0.71,0.02,2.2,3.4,---,---,---,---,---,---,---,---,---,---,---,132,---,2.8,37000,6.3,---
6,3,´º¬ü·Ë,«í¥ú¾ô,23.2,27,7.8,7.7,1.2,0.13,0.72,0.03,2.8,2.8,---,---,---,---,---,---,---,---,---,---,---,138,---,2.7,26000,7.1,---
6,4,´º¬ü·Ë,´º¬ü¾ô,23.5,27,7.6,7.3,1,0.15,0.83,0.04,2.6,3.7,---,---,---,---,---,---,---,---,---,---,---,146,---,5.6,37000,8,---
6,5,²H¤ôªe,»O¥_¾ô,25.8,30,7,3.9,4.1,1.63,0.43,0.04,85.5,13.2,---,---,---,---,---,---,---,---,---,---,---,193,---,75,210000,17.7,---
6,6,°ò¶©ªe,¦¨¥\¾ô,25.9,29.5,7.2,4.7,1.8,0.12,0.73,0.06,9.2,6,---,---,---,---,---,---,---,---,---,---,---,179,---,5.4,65000,14.9,---
6,7,°ò¶©ªe,¤jª½¾ô,26,29.5,7,3.7,2,0.72,1.12,0.06,34.1,7,---,---,---,---,---,---,---,---,---,---,---,187,---,9.3,95000,15,---
6,8,°ò¶©ªe,©Ó¼w¾ô,25.6,30,6.7,3.5,1.7,0.69,1.17,0.05,24.9,8,---,---,---,---,---,---,---,---,---,---,---,183,---,10,45000,16.5,---
6,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,25.4,26.5,8,8.6,1.1,ND<0.08,1.48,ND<0.01,2.1,3.2,---,---,---,---,---,---,---,---,---,---,---,133,---,2.2,2000,10.6,---
6,10,Âù·Ë,«Cò¢·Ë,23.7,27,8.2,8.3,0.6,ND<0.08,0.74,ND<0.01,7,4.3,---,---,---,---,---,---,---,---,---,---,---,175,---,5.4,10000,13,---
6,11,Âù·Ë,´_¿³¾ô,25.1,27.5,7.9,9.1,0.7,ND<0.08,1.24,0.02,3.8,3.8,---,---,---,---,---,---,---,---,---,---,---,203,---,2.6,23000,13.6,---
6,12,ÁD·Ë,¶§©ú¤s,21.3,31,7.5,7.6,0.4,ND<0.08,0.96,ND<0.01,2.6,3.2,---,---,---,---,---,---,---,---,---,---,---,180,---,1.9,4500,13.9,---
6,13,ÁD·Ë,ÁD·Ë¾ô,27.8,35,3.7,7.9,0.5,0.2,1.03,ND<0.01,2.1,3.3,---,---,---,---,---,---,---,---,---,---,---,755,---,3,90,77.2,---
6,14,¶Q¤l§|·Ë,·s¶Q¤l§|,28,31,8.4,7.7,0.8,ND<0.08,1.54,0.02,2.6,5.2,---,---,---,---,---,---,---,---,---,---,---,286,---,3.8,33000,43.3,---
6,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,26.2,28,8.4,7.5,0.8,0.13,0.54,0.03,1.9,4.6,---,---,---,---,---,---,---,---,---,---,---,439,---,1.7,49000,33.4,---
6,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,30.7,30,2.6,5.8,1.9,5.03,0.83,ND<0.01,3.6,10.6,---,---,---,---,---,---,---,---,---,---,---,2960,---,1.9,<10,289,---
7,1,·s©±·Ë,¥ÃºÖ¾ô,28.4,35,7.2,2.9,3.3,0.67,0.84,0.1,7.5,10.1,ND<0.641,ND<0.634,2.18,1.48,8.23,---,135,ND<0.647,1.01,ND<0.2,---,162,---,5.6,45000,8,---
7,2,´º¬ü·Ë,¸UºÖ¾ô,31.9,34,7.7,5.3,3.2,1.01,0.9,0.21,3.4,11,ND<0.641,ND<0.634,2.15,ND<0.643,5.63,---,75.3,ND<0.647,0.833,ND<0.2,---,256,---,1.5,7000,16.2,---
7,3,´º¬ü·Ë,«í¥ú¾ô,31.8,34,7.7,6.2,3.3,0.09,1.22,0.48,4.8,11.8,ND<0.641,ND<0.634,1.61,ND<0.643,2.84,---,86.7,ND<0.647,0.722,ND<0.2,---,257,---,1.6,12000,18.7,---
7,4,´º¬ü·Ë,´º¬ü¾ô,31.7,34,7.8,6.9,4.5,1.25,1.33,0.78,4.8,13.8,ND<0.641,ND<0.634,1.66,0.701,4.4,---,41.2,ND<0.647,2.99,ND<0.2,---,329,---,1.7,30000,28.7,---
7,5,²H¤ôªe,»O¥_¾ô,30.8,34,7.3,3.2,7.3,2.64,0.63,0.05,53.4,20.8,ND<0.641,2.51,10,3.78,28.2,---,72.7,ND<0.647,3.71,ND<0.2,---,397,---,60,1200000,42.2,---
7,6,°ò¶©ªe,¦¨¥\¾ô,32.4,34,7.3,2.2,3.9,1.54,1.15,0.27,12.1,15.4,ND<0.641,ND<0.634,2.97,0.726,91.4,---,51.6,ND<0.647,2.28,ND<0.2,---,330,---,5.1,14000,33.7,---
7,7,°ò¶©ªe,¤jª½¾ô,31.7,34,7.2,2.9,6.6,2.05,2.32,0.17,31.1,20.2,ND<0.641,1.25,4.1,1.53,12.5,---,63.3,ND<0.647,2.49,ND<0.2,---,352,---,17,310000,41.2,---
7,8,°ò¶©ªe,©Ó¼w¾ô,31.3,34.5,7,1.9,4.4,2.36,1.81,0.24,24.7,17.9,ND<0.641,ND<0.634,3.9,1.13,9.62,---,46.4,ND<0.647,1.86,ND<0.2,---,432,---,3.2,220000,42.9,---
7,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,31,34.5,8.6,8.1,2,ND<0.08,0.6,0.07,2.7,4.4,ND<0.641,ND<0.634,0.939,ND<0.643,2.03,---,67.5,ND<0.647,0.694,ND<0.2,---,140,---,2.2,350,11.8,---
7,10,Âù·Ë,«Cò¢·Ë,26.9,36.5,8.2,8.1,0.8,ND<0.08,1.71,0.04,3.2,4.2,ND<0.641,ND<0.634,1.49,ND<0.643,3.86,---,17.2,ND<0.647,0.641,ND<0.2,---,178,---,4.2,3500,12.5,---
